Metric,Continuous,Passive,Active
Final Loss,0.20620064437389374,0.21129240095615387,0.21965093910694122
Training Time (s),68.21502041816711,33.18261671066284,34.04934573173523
Active Steps,3000,1500,1500
Duty Cycle (%),1.0,0.5,0.5
Total Clusters,4,4,4
Operations/Inference,2252,2252,2252
TOPS Required,1.3512e-07,1.3512e-07,1.3512e-07
Memory (KB),9.3125,9.3125,9.3125
Power (mW),0.07683350400000001,0.07683350400000001,0.07683350400000001
Top Platform,Jetson Orin Nano,Jetson Orin Nano,Jetson Orin Nano
Platform Cost ($),219,219,219
